DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,1995,1541.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,1996,1611.21,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,1997,1613.99,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,1998,1587.59,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,1999,1514.52,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2000,1479.98,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2001,1483.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2002,1477.40,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2003,1426.57,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2004,1439.38,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2005,1477.89,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2006,1484.97,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2007,1525.86,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2008,1541.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2009,1428.68,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2010,1379.01,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2011,1434.88,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2012,1442.19,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2013,1441.29,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2014,1461.94,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2015,1508.96,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2016,1541.43,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2017,1562.46,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2018,1575.70,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2019,1570.38,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2020,1515.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,CZ,2021,1515.62,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1991,10968.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1992,10155.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1993,9475.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1994,9010.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1995,8805.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1996,8585.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1997,8424.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1998,8459.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,1999,8410.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2000,8475.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2001,8464.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2002,8286.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2003,8066.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2004,7954.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2005,7822.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2006,7733.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2007,7841.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2008,8023.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2009,7849.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2010,7709.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2011,7858.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2012,7989.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2013,8019.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2014,8064.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2015,8082.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2016,8103.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2017,8175.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2018,8311.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2019,8369.00,p
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2020,8175.00,p
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,DE,2021,8081.00,p
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1975,5265.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1976,5250.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1977,5250.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1978,5199.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1979,5117.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1980,5056.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1981,4894.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1982,4817.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1983,4733.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1984,4586.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1985,4462.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1986,4377.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1987,4269.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1988,4205.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1989,4217.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1990,4221.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1991,4153.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1992,4022.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1993,3845.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1994,3755.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1995,3768.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1996,3741.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1997,3711.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1998,3711.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,1999,3698.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2000,3726.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2001,3751.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2002,3689.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2003,3615.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2004,3509.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2005,3442.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2006,3384.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2007,3350.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2008,3306.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2009,3158.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2010,3033.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2011,3017.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2012,3005.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2013,2976.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2014,2962.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2015,2910.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2016,2895.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2017,2875.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2018,2877.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2019,2962.00,p
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2020,2929.00,p
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,FR,2021,2937.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,1995,4912.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,1996,4857.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,1997,4838.30,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,1998,4924.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,1999,4897.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2000,4869.30,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2001,4865.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2002,4894.40,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2003,4923.50,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2004,4871.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2005,4839.10,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2006,4892.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2007,4916.70,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2008,4867.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2009,4645.70,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2010,4482.70,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2011,4453.40,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2012,4383.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2013,4261.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2014,4187.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2015,4152.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2016,4189.40,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2017,4215.40,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2018,4260.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2019,4290.70,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2020,4248.90,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,IT,2021,4252.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,1995,3764.70,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,1996,3794.40,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,1997,3817.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,1998,3832.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,1999,3647.90,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2000,3538.00,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2001,3373.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2002,3093.10,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2003,3089.50,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2004,3205.30,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2005,3313.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2006,3466.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2007,3634.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2008,3784.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2009,3607.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2010,3403.80,b
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2011,3458.90,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2012,3454.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2013,3536.60,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2014,3620.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2015,3676.30,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2016,3833.20,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2017,3936.80,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2018,3963.90,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2019,3957.30,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2020,3829.90,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,PL,2021,3775.40,b
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,1995,4307.95,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,1996,4362.93,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,1997,4373.69,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,1998,4348.15,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,1999,4185.38,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2000,4051.04,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2001,3872.58,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2002,3693.53,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2003,3496.13,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2004,3354.11,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2005,3220.86,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2006,3156.19,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2007,3095.05,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2008,3030.78,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2009,2852.05,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2010,2810.52,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2011,2819.30,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2012,2857.41,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2013,2838.72,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2014,2843.85,
ESTAT:NAMA_10_A10_E(1.0),25/08/22 23:00:00,A,THS_PER,B-E,EMP_DC,UK,2015,2880.52,
